OID,SYSTEM,MONTHDAY_INSTALL,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,SHAPE_AREA,SHAPE_LEN
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{232F872D-26EB-4E4D-9DDC-800E66030543},,90.711616826508489,40.521060611128199
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{76AAC886-81A1-4594-A133-1E731C1C54D2},,90.867255170667505,40.434346669451998
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{164C1FD9-BC63-4CA9-9CFE-3969EF25BD6B},,97.516184626063094,46.719221102112400
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{AEA776CA-4828-4B07-9E04-B88C58817DA1},,90.457819823175896,40.417679400520399
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{5513E92D-6A59-4769-ABF7-0F1EB15D0A13},,90.365595065143395,40.366286630458497
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{2127ED6D-91E8-4C83-8DBB-DAEE93FBA041},,90.732069554006102,40.364320896986499
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{D3CD93F5-F444-4D2D-98F3-3690F1A941A3},,88.160918714118196,40.103939791073493
-1,GSWI,11_5,2007,ACT,PRIVMAND,1,,{002635E7-96DB-4EF8-A106-0F91B1AB4BB0},,121.808682425548010,55.947806382629402
-1,GSWI,3_13,2008,ACT,PRIVMAND,1,,{9926A0D6-3450-441D-B971-0507CCAAFF2C},,1848.439072935470000,201.820799284951020
-1,GSWI,8_26,2008,ACT,PRIVMAND,1,,{9919E30D-B427-4D1B-89A4-BCB9EC150E71},,1563.957220746980100,168.440002550450000
-1,GSWI,4_16,2013,ACT,PRIVMAND,1,,{465027EC-B4C1-4C90-BDC6-8B9C6285EBEE},,7574.503119310090400,555.640362348795070
-1,GSWI,2_22,2013,ACT,PRIVMAND,1,,{ACF8B3A0-3DB4-4BB7-8C30-FEBF2610B383},,4849.148733293400300,287.348601884476010
-1,GSWI,10_20,2008,ACT,PRIVMAND,1,,{5D7574A0-8850-4DAB-B94C-D915BD0C70CB},,2900.488357635879800,227.462806090946000
-1,GSWI,4_15,2013,ACT,PRIVMAND,1,,{6372ED78-C3A1-4C31-B663-8A26C217D689},,22377.728325439901000,670.094044851284020
